data,serie,valor
2020-01-01,inadimplencia_pf,3.0
2020-02-01,inadimplencia_pf,3.04
2020-03-01,inadimplencia_pf,3.18
2020-04-01,inadimplencia_pf,3.29
2020-05-01,inadimplencia_pf,3.24
2020-06-01,inadimplencia_pf,2.89
2020-07-01,inadimplencia_pf,2.76
2020-08-01,inadimplencia_pf,2.65
2020-09-01,inadimplencia_pf,2.43
2020-10-01,inadimplencia_pf,2.35
2020-11-01,inadimplencia_pf,2.23
2020-12-01,inadimplencia_pf,2.11
2021-01-01,inadimplencia_pf,2.14
2021-02-01,inadimplencia_pf,2.23
2021-03-01,inadimplencia_pf,2.13
2021-04-01,inadimplencia_pf,2.19
2021-05-01,inadimplencia_pf,2.33
2021-06-01,inadimplencia_pf,2.27
2021-07-01,inadimplencia_pf,2.31
2021-08-01,inadimplencia_pf,2.31
2021-09-01,inadimplencia_pf,2.28
2021-10-01,inadimplencia_pf,2.28
2021-11-01,inadimplencia_pf,2.31
2021-12-01,inadimplencia_pf,2.3
2022-01-01,inadimplencia_pf,2.45
2022-02-01,inadimplencia_pf,2.51
2022-03-01,inadimplencia_pf,2.59
2022-04-01,inadimplencia_pf,2.66
2022-05-01,inadimplencia_pf,2.72
2022-06-01,inadimplencia_pf,2.66
2022-07-01,inadimplencia_pf,2.77
2022-08-01,inadimplencia_pf,2.83
2022-09-01,inadimplencia_pf,2.85
2022-10-01,inadimplencia_pf,2.96
2022-11-01,inadimplencia_pf,2.99
2022-12-01,inadimplencia_pf,2.99
2023-01-01,inadimplencia_pf,3.15
2023-02-01,inadimplencia_pf,3.27
2023-03-01,inadimplencia_pf,3.26
2023-04-01,inadimplencia_pf,3.45
2023-05-01,inadimplencia_pf,3.55
2023-06-01,inadimplencia_pf,3.51
2023-07-01,inadimplencia_pf,3.54
2023-08-01,inadimplencia_pf,3.51
2023-09-01,inadimplencia_pf,3.44
2023-10-01,inadimplencia_pf,3.46
2023-11-01,inadimplencia_pf,3.43
2023-12-01,inadimplencia_pf,3.18
2024-01-01,inadimplencia_pf,3.26
2024-02-01,inadimplencia_pf,3.26
2024-03-01,inadimplencia_pf,3.2
2024-04-01,inadimplencia_pf,3.24
2024-05-01,inadimplencia_pf,3.26
2024-06-01,inadimplencia_pf,3.17
2024-07-01,inadimplencia_pf,3.17
2024-08-01,inadimplencia_pf,3.21
2024-09-01,inadimplencia_pf,3.22
2024-10-01,inadimplencia_pf,3.17
2024-11-01,inadimplencia_pf,3.14
2024-12-01,inadimplencia_pf,2.95
2025-01-01,inadimplencia_pf,3.19
2025-02-01,inadimplencia_pf,3.26
2025-03-01,inadimplencia_pf,3.28
2025-04-01,inadimplencia_pf,3.5
2025-05-01,inadimplencia_pf,3.54
2025-06-01,inadimplencia_pf,3.57
2025-07-01,inadimplencia_pf,3.77
2025-08-01,inadimplencia_pf,3.95
2025-09-01,inadimplencia_pf,3.91
2025-10-01,inadimplencia_pf,4.0
2025-11-01,inadimplencia_pf,4.05
2025-12-01,inadimplencia_pf,4.02
2026-01-01,inadimplencia_pf,4.26
2026-02-01,inadimplencia_pf,4.44
2026-03-01,inadimplencia_pf,4.33
2020-01-01,inadimplencia_pj,2.19
2020-02-01,inadimplencia_pj,2.16
2020-03-01,inadimplencia_pj,2.16
2020-04-01,inadimplencia_pj,2.28
2020-05-01,inadimplencia_pj,2.29
2020-06-01,inadimplencia_pj,1.96
2020-07-01,inadimplencia_pj,1.87
2020-08-01,inadimplencia_pj,1.83
2020-09-01,inadimplencia_pj,1.54
2020-10-01,inadimplencia_pj,1.47
2020-11-01,inadimplencia_pj,1.29
2020-12-01,inadimplencia_pj,1.2
2021-01-01,inadimplencia_pj,1.2
2021-02-01,inadimplencia_pj,1.35
2021-03-01,inadimplencia_pj,1.2
2021-04-01,inadimplencia_pj,1.27
2021-05-01,inadimplencia_pj,1.51
2021-06-01,inadimplencia_pj,1.48
2021-07-01,inadimplencia_pj,1.52
2021-08-01,inadimplencia_pj,1.5
2021-09-01,inadimplencia_pj,1.36
2021-10-01,inadimplencia_pj,1.36
2021-11-01,inadimplencia_pj,1.4
2021-12-01,inadimplencia_pj,1.33
2022-01-01,inadimplencia_pj,1.38
2022-02-01,inadimplencia_pj,1.36
2022-03-01,inadimplencia_pj,1.46
2022-04-01,inadimplencia_pj,1.48
2022-05-01,inadimplencia_pj,1.48
2022-06-01,inadimplencia_pj,1.44
2022-07-01,inadimplencia_pj,1.51
2022-08-01,inadimplencia_pj,1.52
2022-09-01,inadimplencia_pj,1.55
2022-10-01,inadimplencia_pj,1.67
2022-11-01,inadimplencia_pj,1.7
2022-12-01,inadimplencia_pj,1.69
2023-01-01,inadimplencia_pj,1.82
2023-02-01,inadimplencia_pj,2.04
2023-03-01,inadimplencia_pj,2.08
2023-04-01,inadimplencia_pj,2.32
2023-05-01,inadimplencia_pj,2.45
2023-06-01,inadimplencia_pj,2.5
2023-07-01,inadimplencia_pj,2.6
2023-08-01,inadimplencia_pj,2.69
2023-09-01,inadimplencia_pj,2.69
2023-10-01,inadimplencia_pj,2.79
2023-11-01,inadimplencia_pj,2.85
2023-12-01,inadimplencia_pj,2.45
2024-01-01,inadimplencia_pj,2.6
2024-02-01,inadimplencia_pj,2.59
2024-03-01,inadimplencia_pj,2.54
2024-04-01,inadimplencia_pj,2.58
2024-05-01,inadimplencia_pj,2.56
2024-06-01,inadimplencia_pj,2.45
2024-07-01,inadimplencia_pj,2.33
2024-08-01,inadimplencia_pj,2.36
2024-09-01,inadimplencia_pj,2.37
2024-10-01,inadimplencia_pj,2.33
2024-11-01,inadimplencia_pj,2.31
2024-12-01,inadimplencia_pj,2.03
2025-01-01,inadimplencia_pj,2.23
2025-02-01,inadimplencia_pj,2.3
2025-03-01,inadimplencia_pj,2.25
2025-04-01,inadimplencia_pj,2.46
2025-05-01,inadimplencia_pj,2.4
2025-06-01,inadimplencia_pj,2.4
2025-07-01,inadimplencia_pj,2.51
2025-08-01,inadimplencia_pj,2.56
2025-09-01,inadimplencia_pj,2.51
2025-10-01,inadimplencia_pj,2.56
2025-11-01,inadimplencia_pj,2.48
2025-12-01,inadimplencia_pj,2.43
2026-01-01,inadimplencia_pj,2.6
2026-02-01,inadimplencia_pj,2.78
2026-03-01,inadimplencia_pj,2.75
2020-01-01,concessao_credito,321537.0
2020-02-01,concessao_credito,307431.0
2020-03-01,concessao_credito,395459.0
2020-04-01,concessao_credito,296609.0
2020-05-01,concessao_credito,285392.0
2020-06-01,concessao_credito,320959.0
2020-07-01,concessao_credito,343837.0
2020-08-01,concessao_credito,346119.0
2020-09-01,concessao_credito,368510.0
2020-10-01,concessao_credito,352349.0
2020-11-01,concessao_credito,377855.0
2020-12-01,concessao_credito,400655.0
2021-01-01,concessao_credito,295395.0
2021-02-01,concessao_credito,313166.0
2021-03-01,concessao_credito,406649.0
2021-04-01,concessao_credito,378634.0
2021-05-01,concessao_credito,401464.0
2021-06-01,concessao_credito,426835.0
2021-07-01,concessao_credito,418143.0
2021-08-01,concessao_credito,437435.0
2021-09-01,concessao_credito,451159.0
2021-10-01,concessao_credito,432575.0
2021-11-01,concessao_credito,464195.0
2021-12-01,concessao_credito,505554.0
2022-01-01,concessao_credito,411029.0
2022-02-01,concessao_credito,402231.0
2022-03-01,concessao_credito,516765.0
2022-04-01,concessao_credito,462611.0
2022-05-01,concessao_credito,507155.0
2022-06-01,concessao_credito,507243.0
2022-07-01,concessao_credito,490884.0
2022-08-01,concessao_credito,544987.0
2022-09-01,concessao_credito,532373.0
2022-10-01,concessao_credito,504821.0
2022-11-01,concessao_credito,513458.0
2022-12-01,concessao_credito,557031.0
2023-01-01,concessao_credito,474572.0
2023-02-01,concessao_credito,429479.0
2023-03-01,concessao_credito,537184.0
2023-04-01,concessao_credito,445999.0
2023-05-01,concessao_credito,516564.0
2023-06-01,concessao_credito,526364.0
2023-07-01,concessao_credito,500400.0
2023-08-01,concessao_credito,557947.0
2023-09-01,concessao_credito,548262.0
2023-10-01,concessao_credito,542505.0
2023-11-01,concessao_credito,553535.0
2023-12-01,concessao_credito,598378.0
2024-01-01,concessao_credito,534643.0
2024-02-01,concessao_credito,506093.0
2024-03-01,concessao_credito,569494.0
2024-04-01,concessao_credito,568350.0
2024-05-01,concessao_credito,575018.0
2024-06-01,concessao_credito,593731.0
2024-07-01,concessao_credito,619555.0
2024-08-01,concessao_credito,626935.0
2024-09-01,concessao_credito,639036.0
2024-10-01,concessao_credito,649021.0
2024-11-01,concessao_credito,620001.0
2024-12-01,concessao_credito,694703.0
2025-01-01,concessao_credito,588774.0
2025-02-01,concessao_credito,587696.0
2025-03-01,concessao_credito,619922.0
2025-04-01,concessao_credito,644258.0
2025-05-01,concessao_credito,648124.0
2025-06-01,concessao_credito,641203.0
2025-07-01,concessao_credito,649575.0
2025-08-01,concessao_credito,642786.0
2025-09-01,concessao_credito,699655.0
2025-10-01,concessao_credito,690692.0
2025-11-01,concessao_credito,651196.0
2025-12-01,concessao_credito,803045.0
2026-01-01,concessao_credito,648496.0
2026-02-01,concessao_credito,609344.0
2026-03-01,concessao_credito,732939.0
2020-01-01,juros_medio_pf,23.17
2020-02-01,juros_medio_pf,23.14
2020-03-01,juros_medio_pf,22.76
2020-04-01,juros_medio_pf,21.37
2020-05-01,juros_medio_pf,20.54
2020-06-01,juros_medio_pf,19.14
2020-07-01,juros_medio_pf,18.91
2020-08-01,juros_medio_pf,18.49
2020-09-01,juros_medio_pf,17.95
2020-10-01,juros_medio_pf,18.52
2020-11-01,juros_medio_pf,18.39
2020-12-01,juros_medio_pf,18.24
2021-01-01,juros_medio_pf,19.9
2021-02-01,juros_medio_pf,19.62
2021-03-01,juros_medio_pf,19.79
2021-04-01,juros_medio_pf,20.26
2021-05-01,juros_medio_pf,19.79
2021-06-01,juros_medio_pf,19.92
2021-07-01,juros_medio_pf,20.3
2021-08-01,juros_medio_pf,20.97
2021-09-01,juros_medio_pf,21.46
2021-10-01,juros_medio_pf,22.93
2021-11-01,juros_medio_pf,23.95
2021-12-01,juros_medio_pf,24.26
2022-01-01,juros_medio_pf,25.24
2022-02-01,juros_medio_pf,25.63
2022-03-01,juros_medio_pf,26.55
2022-04-01,juros_medio_pf,27.47
2022-05-01,juros_medio_pf,27.43
2022-06-01,juros_medio_pf,27.89
2022-07-01,juros_medio_pf,29.25
2022-08-01,juros_medio_pf,28.63
2022-09-01,juros_medio_pf,28.6
2022-10-01,juros_medio_pf,29.71
2022-11-01,juros_medio_pf,30.55
2022-12-01,juros_medio_pf,29.68
2023-01-01,juros_medio_pf,30.54
2023-02-01,juros_medio_pf,30.48
2023-03-01,juros_medio_pf,30.99
2023-04-01,juros_medio_pf,31.62
2023-05-01,juros_medio_pf,31.63
2023-06-01,juros_medio_pf,30.84
2023-07-01,juros_medio_pf,30.43
2023-08-01,juros_medio_pf,29.91
2023-09-01,juros_medio_pf,29.66
2023-10-01,juros_medio_pf,29.24
2023-11-01,juros_medio_pf,29.01
2023-12-01,juros_medio_pf,28.13
2024-01-01,juros_medio_pf,27.99
2024-02-01,juros_medio_pf,27.84
2024-03-01,juros_medio_pf,28.13
2024-04-01,juros_medio_pf,27.86
2024-05-01,juros_medio_pf,27.74
2024-06-01,juros_medio_pf,27.81
2024-07-01,juros_medio_pf,27.74
2024-08-01,juros_medio_pf,27.59
2024-09-01,juros_medio_pf,27.48
2024-10-01,juros_medio_pf,27.93
2024-11-01,juros_medio_pf,28.44
2024-12-01,juros_medio_pf,28.5
2025-01-01,juros_medio_pf,29.86
2025-02-01,juros_medio_pf,30.42
2025-03-01,juros_medio_pf,31.16
2025-04-01,juros_medio_pf,31.41
2025-05-01,juros_medio_pf,31.59
2025-06-01,juros_medio_pf,31.71
2025-07-01,juros_medio_pf,31.58
2025-08-01,juros_medio_pf,31.71
2025-09-01,juros_medio_pf,31.32
2025-10-01,juros_medio_pf,31.89
2025-11-01,juros_medio_pf,32.37
2025-12-01,juros_medio_pf,32.06
2026-01-01,juros_medio_pf,32.75
2026-02-01,juros_medio_pf,32.89
2026-03-01,juros_medio_pf,33.12
